pair,n,same_rate,opp_rate,binom_p_same,chi2_p,long_y_n,long_same_rate,short_y_n,short_same_rate,variety_id,variety_name,S
main~close,177,0.6101694915254238,0.3728813559322034,0.004156412582174464,0.001468866869845089,86,0.5930232558139535,88,0.6477272727272727,1,铁矿石,2
retail~close,177,0.3107344632768362,0.6666666666666666,5.194305648357268e-07,1.5839896110749293e-06,86,0.29069767441860467,88,0.3409090909090909,1,铁矿石,2
main~retail,177,0.23163841807909605,0.7627118644067796,4.240491398201389e-13,7.771135371355559e-13,82,0.18292682926829268,94,0.2765957446808511,1,铁矿石,2
main~close,174,0.6609195402298851,0.3333333333333333,2.6281626550885452e-05,1.3487529988758973e-05,88,0.6363636363636364,85,0.6941176470588235,1,铁矿石,3
retail~close,174,0.26436781609195403,0.7298850574712644,3.8977413934630375e-10,6.257364211322445e-10,88,0.20454545454545456,85,0.32941176470588235,1,铁矿石,3
main~retail,174,0.1839080459770115,0.8160919540229885,9.718725894710974e-18,1.6338884652588534e-17,76,0.10526315789473684,98,0.24489795918367346,1,铁矿石,3
main~close,171,0.7368421052631579,0.23391812865497075,4.4877481307442764e-10,1.2290035679188596e-11,90,0.7111111111111111,76,0.8157894736842105,1,铁矿石,4
retail~close,171,0.19298245614035087,0.7777777777777778,1.803938189938987e-16,1.218730684516303e-14,90,0.16666666666666666,76,0.23684210526315788,1,铁矿石,4
main~retail,171,0.16374269005847952,0.8362573099415205,8.738712701597344e-20,2.609919376060954e-19,75,0.08,96,0.22916666666666666,1,铁矿石,4
main~close,177,0.5988700564971752,0.3785310734463277,0.010397044402203244,0.0029476426661659604,86,0.6395348837209303,87,0.5862068965517241,2,螺纹钢,2
retail~close,177,0.3446327683615819,0.632768361581921,4.322989229221198e-05,0.00010530692662403226,86,0.3488372093023256,87,0.3563218390804598,2,螺纹钢,2
main~retail,177,0.2542372881355932,0.7457627118644068,4.101914510394749e-11,6.096067809371864e-11,87,0.28735632183908044,90,0.2222222222222222,2,螺纹钢,2
main~close,174,0.632183908045977,0.3563218390804598,0.0006052447871282058,0.00023757304280620174,85,0.6705882352941176,87,0.6091954022988506,2,螺纹钢,3
retail~close,174,0.3160919540229885,0.6724137931034483,1.376065667839387e-06,2.2165988304915704e-06,85,0.3058823529411765,87,0.3333333333333333,2,螺纹钢,3
main~retail,174,0.1896551724137931,0.8103448275862069,4.2279735721298745e-17,2.7067888800960015e-16,85,0.21176470588235294,89,0.16853932584269662,2,螺纹钢,3
main~close,171,0.7251461988304093,0.27485380116959063,3.3780750093631523e-09,4.509742513154227e-09,91,0.7362637362637363,80,0.7125,2,螺纹钢,4
retail~close,171,0.2807017543859649,0.7192982456140351,8.877609050360641e-09,8.80245143869804e-09,91,0.2967032967032967,80,0.2625,2,螺纹钢,4
main~retail,171,0.1695906432748538,0.8304093567251462,4.353417222970872e-19,4.822321836245583e-18,86,0.19767441860465115,85,0.1411764705882353,2,螺纹钢,4
main~close,177,0.5536723163841808,0.4406779661016949,0.17589930239341012,0.12401320677352645,84,0.5833333333333334,92,0.532608695652174,3,热卷,2
retail~close,177,0.3389830508474576,0.655367231638418,2.1995286919066494e-05,2.3838298641227685e-05,84,0.3333333333333333,92,0.34782608695652173,3,热卷,2
main~retail,177,0.3389830508474576,0.6610169491525424,2.1995286919066494e-05,1.8177727835761664e-05,88,0.36363636363636365,89,0.3146067415730337,3,热卷,2
main~close,174,0.6839080459770115,0.3045977011494253,1.376065667839387e-06,4.6440943132359206e-07,78,0.7051282051282052,94,0.6808510638297872,3,热卷,3
retail~close,174,0.29310344827586204,0.6954022988505747,4.7788627962880375e-08,8.951885814855676e-08,78,0.28205128205128205,94,0.30851063829787234,3,热卷,3
main~retail,174,0.3218390804597701,0.6781609195402298,2.9873726008990803e-06,2.6132846427518243e-06,88,0.3181818181818182,86,0.32558139534883723,3,热卷,3
main~close,171,0.6666666666666666,0.32748538011695905,1.5596123705589434e-05,9.093230533125634e-06,82,0.6585365853658537,88,0.6818181818181818,3,热卷,4
retail~close,171,0.26900584795321636,0.7251461988304093,1.2492231225254174e-09,2.3826392118145807e-09,82,0.2926829268292683,88,0.25,3,热卷,4
main~retail,171,0.3391812865497076,0.6608187134502924,3.1407517861889296e-05,2.7476358160608765e-05,90,0.3333333333333333,81,0.345679012345679,3,热卷,4
