variety_name,trade_count,long_count,short_count,win_rate,avg_trade_return,median_holding_days,strategy_return,buy_hold_return,excess_return,pnl_points,max_drawdown,signal_long_days,signal_short_days,variety_id
组合等权,72,36,36,0.5138888888888888,0.00718523052851862,12.0,0.04589175996211203,,,1891.0,-0.038779889839877124,75,69,
PVC,12,6,6,0.5833333333333334,0.01776478790908076,11.5,0.19116528717353543,-0.02148288973383905,0.21264817690737448,1084.0,-0.15702240950326862,15,7,47.0
棉花,6,3,3,0.6666666666666666,0.015184085254606053,21.0,0.0820252328543214,0.12478031634446407,-0.042755083490142676,1100.0,-0.06334371061451782,6,7,23.0
沪铅,8,4,4,0.625,0.008666479339861755,16.5,0.06626869953708647,-0.007988165680472448,0.07425686521755892,1170.0,-0.05448599073931837,9,10,8.0
焦煤,10,5,5,0.6,0.015291107003394777,10.5,0.034261430487397826,0.20505484024797593,-0.1707934097605781,160.0,-0.26729062960464145,6,13,54.0
纯碱,10,5,5,0.5,0.005256983783957092,13.5,0.03155237914136921,-0.09309090909091,0.12464328823227921,55.0,-0.1830434330359857,13,8,48.0
热卷,5,3,2,0.6,-0.0001525205217878689,18.0,-0.002101865954749371,-0.03307448950244385,0.030972623547694478,-6.0,-0.060032970154916376,7,2,3.0
菜粕,4,2,2,0.5,0.0037176794112569744,44.0,-0.007030266698314747,-0.14619883040935677,0.13916856371104203,38.0,-0.18557921406586309,7,5,19.0
棕榈油,6,3,3,0.5,-0.0022888864421908295,20.0,-0.037192998885535955,0.0627380685637473,-0.09993106744928326,-200.0,-0.1623847414833427,4,7,20.0
沪铝,11,5,6,0.18181818181818182,-0.005648446123511008,7.0,-0.07410649060735885,0.20215311004784708,-0.27625960065520594,-1510.0,-0.15688236346543782,8,10,6.0
