variety_name,trade_count,long_count,short_count,win_rate,avg_trade_return,median_holding_days,strategy_return,buy_hold_return,excess_return,pnl_points,max_drawdown,signal_long_days,signal_short_days,exit_long_days,exit_short_days,variety_id
组合等权,98,47,51,0.5204081632653061,0.010423088317298547,5.0,0.11208114688466497,,,6286.5,-0.01634488334769124,75,69,805,760,
焦煤,14,5,9,0.7142857142857143,0.028219198451212242,5.5,0.4001360094479478,0.20505484024797593,0.19508116919997187,439.5,-0.11321085027927347,6,13,84,90,54.0
PVC,14,8,6,0.7142857142857143,0.020230933493682324,5.0,0.30553989240610235,-0.02148288973383905,0.3270227821399414,1408.0,-0.04680371617132484,15,7,87,86,47.0
沪铝,14,5,9,0.5,0.009036296281666927,5.0,0.1259396920873297,0.20215311004784708,-0.0762134179605174,2840.0,-0.03933875671079834,8,10,83,91,6.0
棕榈油,8,3,5,0.5,0.01382504080483117,6.5,0.10785497794102494,0.0627380685637473,0.045116909377277636,940.0,-0.04599969719550845,4,7,101,73,20.0
菜粕,9,5,4,0.4444444444444444,0.005445163513759936,5.0,0.042684225906676865,-0.14619883040935677,0.18888305631603364,119.0,-0.060110932577827514,7,5,96,78,19.0
棉花,8,4,4,0.375,0.0029570000296769428,3.5,0.021687338421937374,0.12478031634446407,-0.1030929779225267,285.0,-0.0431184616446606,6,7,94,80,23.0
热卷,6,4,2,0.6666666666666666,0.003423553551311853,4.5,0.019896578310929947,-0.03307448950244385,0.052971067813373796,65.0,-0.02136598792464217,7,2,88,86,3.0
沪铅,11,5,6,0.45454545454545453,0.0010754770694571788,4.0,0.009518058289013531,-0.007988165680472448,0.01750622396948598,200.0,-0.032466910139809735,9,10,90,84,8.0
纯碱,14,8,6,0.2857142857142857,7.273518225658915e-05,4.0,-0.009783408618105782,-0.09309090909091,0.08330750047280422,-10.0,-0.10143211857079304,13,8,82,92,48.0
