variety_name,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,pnl_points,exit_reason
沪铅,long,2025-08-11,2025-08-14,16885.0,16770.0,3,-0.006810778797749495,-115.0,tp3_main_turn_down
沪铅,short,2025-08-18,2025-08-22,16775.0,16780.0,4,-0.00029797377830753646,-5.0,tp3_main_turn_up
沪铅,long,2025-08-27,2025-09-01,16890.0,16855.0,3,-0.002072232089994075,-35.0,tp3_main_turn_down
沪铅,short,2025-11-18,2025-11-26,17230.0,17065.0,6,0.009668912979783117,165.0,tp3_main_turn_up
沪铅,long,2025-12-04,2025-12-10,17245.0,17115.0,4,-0.00753841693244417,-130.0,tp3_main_turn_down
沪铅,long,2025-12-23,2025-12-31,16995.0,17355.0,6,0.02118270079435125,360.0,tp3_main_turn_down
沪铅,short,2026-01-06,2026-01-12,17520.0,17475.0,4,0.0025751072961373023,45.0,tp3_main_turn_up
沪铅,short,2026-01-23,2026-01-29,17095.0,17185.0,4,-0.005237125400058162,-90.0,tp3_main_turn_up
沪铅,long,2026-02-11,2026-03-04,16755.0,16840.0,9,0.005073112503730215,85.0,tp3_main_turn_down
沪铅,short,2026-03-06,2026-03-18,16775.0,16650.0,8,0.007507507507507505,125.0,tp3_main_turn_up
沪铅,short,2026-04-13,2026-04-17,16570.0,16775.0,4,-0.012220566318926984,-205.0,tp3_main_turn_up
沪铝,short,2025-07-30,2025-08-05,20625.0,20560.0,4,0.0031614785992217787,65.0,tp3_main_turn_up
沪铝,long,2025-08-07,2025-08-14,20750.0,20715.0,5,-0.0016867469879517927,-35.0,tp3_main_turn_down
沪铝,short,2025-08-18,2025-08-22,20595.0,20630.0,4,-0.0016965584100824271,-35.0,tp3_main_turn_up
沪铝,long,2025-08-26,2025-09-01,20715.0,20645.0,4,-0.0033791938209026817,-70.0,tp3_main_turn_down
沪铝,short,2025-09-03,2025-09-09,20710.0,20750.0,4,-0.001927710843373509,-40.0,tp3_main_turn_up
沪铝,short,2025-09-19,2025-09-26,20795.0,20745.0,5,0.002410219329959107,50.0,tp3_main_turn_up
沪铝,short,2025-11-19,2025-11-26,21570.0,21455.0,5,0.005360055931018515,115.0,tp3_main_turn_up
沪铝,long,2025-11-28,2025-12-09,21610.0,21825.0,7,0.009949097639981419,215.0,tp3_main_turn_down
沪铝,short,2025-12-11,2025-12-22,21970.0,22220.0,7,-0.011251125112511251,-250.0,tp3_main_turn_up
沪铝,long,2025-12-24,2026-01-09,22330.0,24385.0,10,0.09202866099417828,2055.0,tp3_main_turn_down
沪铝,short,2026-02-03,2026-02-10,23810.0,23600.0,5,0.008898305084745761,210.0,tp3_main_turn_up
