variety_name,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,pnl_points,exit_reason
沪铅,long,2025-08-11,2025-08-18,16885.0,16775.0,5,-0.006514657980456029,-110.0,reverse_signal
沪铅,short,2025-08-18,2025-08-27,16775.0,16890.0,7,-0.006808762581409167,-115.0,reverse_signal
沪铅,long,2025-08-27,2025-11-18,16890.0,17230.0,53,0.020130254588513807,340.0,reverse_signal
沪铅,short,2025-11-18,2025-12-04,17230.0,17245.0,12,-0.0008698173383588914,-15.0,reverse_signal
沪铅,long,2025-12-04,2026-01-06,17245.0,17520.0,21,0.015946651203247342,275.0,reverse_signal
沪铅,short,2026-01-06,2026-02-11,17520.0,16755.0,26,0.045658012533572156,765.0,reverse_signal
沪铅,long,2026-02-11,2026-03-06,16755.0,16775.0,11,0.0011936735302895407,20.0,reverse_signal
沪铅,short,2026-03-06,2026-04-20,16775.0,16765.0,30,0.0005964807634952773,10.0,final_close
沪铝,short,2025-07-30,2025-08-07,20625.0,20750.0,6,-0.0060240963855421326,-125.0,reverse_signal
沪铝,long,2025-08-07,2025-08-18,20750.0,20595.0,7,-0.00746987951807232,-155.0,reverse_signal
沪铝,short,2025-08-18,2025-08-26,20595.0,20715.0,6,-0.005792903692976137,-120.0,reverse_signal
沪铝,long,2025-08-26,2025-09-03,20715.0,20710.0,6,-0.0002413709872073344,-5.0,reverse_signal
沪铝,short,2025-09-03,2025-11-28,20710.0,21610.0,56,-0.041647385469689935,-900.0,reverse_signal
沪铝,long,2025-11-28,2025-12-11,21610.0,21970.0,9,0.016658954187875885,360.0,reverse_signal
沪铝,short,2025-12-11,2025-12-24,21970.0,22330.0,9,-0.016121809225257522,-360.0,reverse_signal
沪铝,long,2025-12-24,2026-02-03,22330.0,23810.0,27,0.06627854903716979,1480.0,reverse_signal
沪铝,short,2026-02-03,2026-03-30,23810.0,24725.0,33,-0.037007077856420656,-915.0,reverse_signal
沪铝,long,2026-03-30,2026-04-09,24725.0,24540.0,7,-0.007482305358948449,-185.0,reverse_signal
沪铝,short,2026-04-09,2026-04-20,24540.0,25125.0,7,-0.02328358208955228,-585.0,final_close
棕榈油,long,2025-09-08,2025-10-17,9466.0,9308.0,23,-0.01669131628987952,-158.0,reverse_signal
棕榈油,short,2025-10-17,2025-12-02,9308.0,8720.0,32,0.06743119266055042,588.0,reverse_signal
棕榈油,long,2025-12-02,2025-12-10,8720.0,8528.0,6,-0.022018348623853212,-192.0,reverse_signal
棕榈油,short,2025-12-10,2025-12-24,8528.0,8488.0,10,0.004712535344015167,40.0,reverse_signal
棕榈油,long,2025-12-24,2026-01-20,8488.0,8748.0,17,0.030631479736098033,260.0,reverse_signal
棕榈油,short,2026-01-20,2026-04-20,8748.0,9486.0,57,-0.07779886148007586,-738.0,final_close
纯碱,short,2025-08-21,2025-08-29,1306.0,1296.0,6,0.007716049382715973,10.0,reverse_signal
纯碱,long,2025-08-29,2025-09-23,1296.0,1273.0,17,-0.017746913580246937,-23.0,reverse_signal
纯碱,short,2025-09-23,2025-10-24,1273.0,1229.0,17,0.03580146460537015,44.0,reverse_signal
