variety_name,trade_count,long_count,short_count,win_rate,avg_trade_return,median_holding_days,strategy_return,buy_hold_return,excess_return,pnl_points,max_drawdown,signal_long_days,signal_short_days,variety_id
组合等权,157,80,77,0.5286624203821656,0.006112478065583631,8.0,0.09606802448258245,,,5343.5,-0.036927906381010955,300,327,
焦煤,19,10,9,0.631578947368421,0.01768573943912362,8.0,0.24354811740504734,0.20505484024797593,0.038493277157071404,359.5,-0.2174170721363391,33,34,54.0
菜粕,16,8,8,0.5625,0.015801510049414477,8.5,0.2421315180179513,-0.14619883040935677,0.38833034842730807,584.0,-0.10337532711753683,36,44,19.0
棉花,18,9,9,0.5555555555555556,0.007134725835610256,9.5,0.12674172601657419,0.12478031634446407,0.001961409672110115,1700.0,-0.09699035919621324,39,37,23.0
棕榈油,17,8,9,0.6470588235294118,0.007116686823277498,8.0,0.09845198831195257,0.0627380685637473,0.03571391974820526,1044.0,-0.1266957536449762,34,47,20.0
PVC,19,10,9,0.5263157894736842,0.006969891461146945,10.0,0.0965442048398586,-0.02148288973383905,0.11802709457369764,680.0,-0.17142579623958976,33,37,47.0
热卷,12,6,6,0.75,0.007079002331586102,11.5,0.08250680430485247,-0.03307448950244385,0.11558129380729631,275.0,-0.056058876609003216,27,24,3.0
沪铅,17,9,8,0.47058823529411764,0.0017796741385710066,7.0,0.022658246823380912,-0.007988165680472448,0.03064641250385336,470.0,-0.08572817394919985,26,38,8.0
沪铝,20,10,10,0.45,0.001446433932770702,7.0,0.014506251089008826,0.20215311004784708,-0.18764685895883826,460.0,-0.1319291676572224,41,34,6.0
纯碱,19,10,9,0.2631578947368421,-0.008166421032947296,7.0,-0.18027869736446955,-0.09309090909091,-0.08718778827355955,-229.0,-0.3113069537001433,31,32,48.0
