t_start,t_end,A_main,A_retail,A_close,B_main,B_retail,B_close
2025-07-22,2025-07-24,0,1,-1,-1,1,-1
2025-07-23,2025-07-25,-1,1,-1,-1,1,-1
2025-07-24,2025-07-28,-1,1,-1,-1,1,-1
2025-07-25,2025-07-29,-1,1,0,-1,1,-1
2025-07-28,2025-07-30,-1,1,0,-1,1,1
2025-07-29,2025-07-31,-1,1,-1,-1,1,-1
2025-07-30,2025-08-01,-1,1,0,-1,1,-1
2025-07-31,2025-08-04,0,0,1,1,-1,1
2025-08-01,2025-08-05,1,-1,1,1,-1,1
2025-08-04,2025-08-06,0,-1,0,1,-1,1
2025-08-05,2025-08-07,0,-1,-1,1,-1,-1
2025-08-06,2025-08-08,1,0,-1,1,-1,-1
2025-08-07,2025-08-11,1,1,0,1,1,-1
2025-08-08,2025-08-12,1,0,1,1,-1,1
2025-08-11,2025-08-13,1,-1,0,1,-1,1
2025-08-12,2025-08-14,0,0,-1,-1,-1,-1
2025-08-13,2025-08-15,-1,1,0,-1,1,-1
2025-08-14,2025-08-18,-1,1,0,-1,1,-1
2025-08-15,2025-08-19,-1,1,-1,-1,1,-1
2025-08-18,2025-08-20,-1,1,-1,-1,1,-1
2025-08-19,2025-08-21,0,1,0,-1,1,1
2025-08-20,2025-08-22,1,1,0,1,1,1
2025-08-21,2025-08-25,1,0,0,1,-1,1
2025-08-22,2025-08-26,1,-1,0,1,-1,1
2025-08-25,2025-08-27,1,0,-1,1,-1,-1
2025-08-26,2025-08-28,1,0,0,1,-1,1
2025-08-27,2025-08-29,1,-1,0,1,-1,1
2025-08-28,2025-09-01,0,0,-1,-1,1,-1
2025-08-29,2025-09-02,-1,1,0,-1,1,-1
2025-09-01,2025-09-03,-1,0,1,-1,-1,1
2025-09-02,2025-09-04,-1,-1,1,-1,-1,1
2025-09-03,2025-09-05,-1,-1,0,-1,-1,1
2025-09-04,2025-09-08,0,-1,0,1,-1,1
2025-09-05,2025-09-09,1,-1,1,1,-1,1
2025-09-08,2025-09-10,1,-1,0,1,-1,1
2025-09-09,2025-09-11,0,0,0,1,-1,-1
2025-09-10,2025-09-12,-1,1,0,-1,1,-1
2025-09-11,2025-09-15,-1,1,0,-1,1,1
2025-09-12,2025-09-16,-1,1,0,-1,1,1
2025-09-15,2025-09-17,-1,0,1,-1,1,1
2025-09-16,2025-09-18,-1,0,0,-1,-1,-1
2025-09-17,2025-09-19,0,0,0,1,-1,1
2025-09-18,2025-09-22,1,-1,1,1,-1,1
2025-09-19,2025-09-23,0,-1,0,1,-1,-1
2025-09-22,2025-09-24,-1,-1,0,-1,-1,-1
2025-09-23,2025-09-25,-1,-1,1,-1,-1,1
2025-09-24,2025-09-26,-1,0,0,-1,1,-1
2025-09-25,2025-09-29,-1,1,-1,-1,1,-1
2025-09-26,2025-09-30,-1,1,-1,-1,1,-1
2025-10-09,2025-10-13,1,-1,1,1,-1,1
2025-10-10,2025-10-14,1,-1,0,1,-1,-1
2025-10-13,2025-10-15,1,0,-1,1,1,-1
2025-10-14,2025-10-16,0,1,-1,-1,1,-1
2025-10-15,2025-10-17,-1,1,-1,-1,1,-1
2025-10-16,2025-10-20,-1,1,-1,-1,1,-1
2025-10-17,2025-10-21,-1,1,0,-1,1,-1
2025-10-20,2025-10-22,-1,0,1,-1,-1,1
2025-10-21,2025-10-23,0,-1,1,1,-1,1
2025-10-22,2025-10-24,1,-1,0,1,-1,-1
2025-10-23,2025-10-27,1,-1,0,1,-1,1
2025-10-24,2025-10-28,1,-1,1,1,-1,1
2025-10-27,2025-10-29,1,-1,1,1,-1,1
2025-10-28,2025-10-30,1,-1,0,1,-1,1
2025-10-29,2025-10-31,1,0,-1,1,-1,-1
2025-10-30,2025-11-03,0,1,-1,-1,1,-1
2025-10-31,2025-11-04,-1,1,-1,-1,1,-1
2025-11-03,2025-11-05,-1,1,0,-1,1,-1
2025-11-04,2025-11-06,-1,0,1,-1,1,1
2025-11-05,2025-11-07,-1,-1,0,-1,-1,-1
2025-11-06,2025-11-10,-1,-1,0,-1,-1,-1
2025-11-07,2025-11-11,0,-1,0,-1,-1,1
2025-11-10,2025-11-12,1,-1,0,1,-1,1
2025-11-11,2025-11-13,1,-1,0,1,-1,1
2025-11-12,2025-11-14,1,-1,0,1,-1,-1
2025-11-13,2025-11-17,1,-1,0,1,-1,1
2025-11-14,2025-11-18,1,-1,1,1,-1,1
2025-11-17,2025-11-19,1,-1,0,1,-1,1
2025-11-18,2025-11-20,1,0,-1,1,-1,-1
2025-11-19,2025-11-21,0,1,-1,-1,1,-1
2025-11-20,2025-11-24,-1,1,0,-1,1,1
2025-11-21,2025-11-25,-1,0,1,-1,1,1
2025-11-24,2025-11-26,-1,-1,1,-1,-1,1
2025-11-25,2025-11-27,-1,-1,1,-1,-1,1
2025-11-26,2025-11-28,-1,-1,0,-1,-1,-1
2025-11-27,2025-12-01,-1,-1,0,-1,-1,1
2025-11-28,2025-12-02,-1,0,0,-1,-1,1
2025-12-01,2025-12-03,-1,1,-1,-1,1,-1
2025-12-02,2025-12-04,-1,1,-1,-1,1,-1
2025-12-03,2025-12-05,-1,1,-1,-1,1,-1
2025-12-04,2025-12-08,-1,1,-1,-1,1,-1
2025-12-05,2025-12-09,-1,1,-1,-1,1,-1
2025-12-08,2025-12-10,0,1,0,-1,1,1
2025-12-09,2025-12-11,1,0,0,1,1,-1
2025-12-10,2025-12-12,1,0,0,1,-1,-1
2025-12-11,2025-12-15,1,-1,0,1,-1,-1
2025-12-12,2025-12-16,1,-1,0,1,-1,1
2025-12-15,2025-12-17,1,-1,1,1,-1,1
2025-12-16,2025-12-18,1,-1,1,1,-1,1
2025-12-17,2025-12-19,1,-1,1,1,-1,1
2025-12-18,2025-12-22,1,-1,1,1,-1,1
2025-12-19,2025-12-23,1,-1,0,1,-1,-1
2025-12-22,2025-12-24,0,-1,0,1,-1,-1
2025-12-23,2025-12-25,-1,0,0,-1,1,0
2025-12-24,2025-12-26,-1,1,0,-1,1,1
2025-12-25,2025-12-29,0,0,1,1,-1,1
2025-12-26,2025-12-30,1,-1,0,1,-1,1
2025-12-29,2025-12-31,1,-1,0,1,-1,-1
2025-12-30,2026-01-05,1,-1,1,1,-1,1
2025-12-31,2026-01-06,1,-1,1,1,-1,1
2026-01-05,2026-01-07,1,-1,1,1,-1,1
2026-01-06,2026-01-08,1,-1,0,1,-1,1
2026-01-07,2026-01-09,1,0,0,1,1,-1
2026-01-08,2026-01-12,1,1,1,1,1,1
2026-01-09,2026-01-13,0,1,0,1,1,1
2026-01-12,2026-01-14,-1,1,0,-1,1,-1
2026-01-13,2026-01-15,-1,1,0,-1,1,-1
2026-01-14,2026-01-16,-1,1,-1,-1,1,-1
