t_start,t_end,S,delta_main,delta_retail,delta_close,dir_main,dir_retail,dir_close
2025-07-22,2025-07-24,3,-2.6199999999999974,7.879999999999999,-12.0,-1,1,-1
2025-07-23,2025-07-25,3,-13.279999999999994,15.629999999999999,-9.5,-1,1,-1
2025-07-24,2025-07-28,3,-23.520000000000003,22.310000000000002,-25.0,-1,1,-1
2025-07-25,2025-07-29,3,-28.400000000000002,20.17,-4.5,-1,1,-1
2025-07-28,2025-07-30,3,-22.2,13.22,3.0,-1,1,1
2025-07-29,2025-07-31,3,-15.51,9.49,-19.0,-1,1,-1
2025-07-30,2025-08-01,3,-9.64,4.379999999999999,-6.0,-1,1,-1
2025-07-31,2025-08-04,3,2.01,-2.5700000000000003,11.5,1,-1,1
2025-08-01,2025-08-05,3,8.44,-8.27,15.5,1,-1,1
2025-08-04,2025-08-06,3,3.619999999999999,-9.559999999999999,4.0,1,-1,1
2025-08-05,2025-08-07,3,3.95,-5.67,-5.5,1,-1,-1
2025-08-06,2025-08-08,3,8.33,-0.79,-21.0,1,-1,-1
2025-08-07,2025-08-11,3,5.96,0.8799999999999999,-4.0,1,1,-1
2025-08-08,2025-08-12,3,3.43,-1.8399999999999999,27.5,1,-1,1
2025-08-11,2025-08-13,3,2.8499999999999988,-3.63,6.0,1,-1,1
2025-08-12,2025-08-14,3,-8.06,-0.8799999999999999,-26.0,-1,-1,-1
2025-08-13,2025-08-15,3,-16.369999999999997,1.1,-19.0,-1,1,-1
2025-08-14,2025-08-18,3,-14.17,2.0600000000000005,-3.0,-1,1,-1
2025-08-15,2025-08-19,3,-16.729999999999997,3.7600000000000002,-5.0,-1,1,-1
2025-08-18,2025-08-20,3,-17.560000000000002,4.94,-3.0,-1,1,-1
2025-08-19,2025-08-21,3,-1.370000000000001,3.55,1.5,-1,1,1
2025-08-20,2025-08-22,3,9.969999999999999,0.9799999999999986,1.0,1,1,1
2025-08-21,2025-08-25,3,15.969999999999999,-1.87,14.5,1,-1,1
2025-08-22,2025-08-26,3,21.740000000000002,-3.8499999999999996,6.5,1,-1,1
2025-08-25,2025-08-27,3,18.130000000000003,-1.6600000000000001,-11.5,1,-1,-1
2025-08-26,2025-08-28,3,16.7,-1.1799999999999997,14.0,1,-1,1
2025-08-27,2025-08-29,3,13.840000000000002,-1.4799999999999995,12.0,1,-1,1
2025-08-28,2025-09-01,3,-6.0600000000000005,1.5499999999999998,-24.5,-1,1,-1
2025-08-29,2025-09-02,3,-22.060000000000002,2.33,-16.0,-1,1,-1
2025-09-01,2025-09-03,3,-11.79,-1.2400000000000002,11.0,-1,-1,1
2025-09-02,2025-09-04,3,-3.0500000000000003,-6.5200000000000005,20.0,-1,-1,1
2025-09-03,2025-09-05,3,-0.77,-8.08,12.5,-1,-1,1
2025-09-04,2025-09-08,3,11.54,-6.17,0.5,1,-1,1
2025-09-05,2025-09-09,3,26.18,-6.950000000000001,15.5,1,-1,1
2025-09-08,2025-09-10,3,20.82,-7.14,13.0,1,-1,1
2025-09-09,2025-09-11,3,4.530000000000001,-2.709999999999999,-9.5,1,-1,-1
2025-09-10,2025-09-12,3,-3.650000000000002,1.2199999999999989,-5.5,-1,1,-1
2025-09-11,2025-09-15,3,-5.280000000000001,4.359999999999999,0.5,-1,1,1
2025-09-12,2025-09-16,3,-11.49,4.990000000000001,4.0,-1,1,1
2025-09-15,2025-09-17,3,-13.75,0.5600000000000005,8.5,-1,1,1
2025-09-16,2025-09-18,3,-6.829999999999999,-0.5100000000000007,-3.5,-1,-1,-1
2025-09-17,2025-09-19,3,0.5500000000000007,-0.5800000000000001,3.0,1,-1,1
2025-09-18,2025-09-22,3,6.54,-3.8200000000000003,8.5,1,-1,1
2025-09-19,2025-09-23,3,3.1999999999999993,-3.5199999999999996,-5.0,1,-1,-1
2025-09-22,2025-09-24,3,-2.1999999999999993,-1.2899999999999991,-5.0,-1,-1,-1
2025-09-23,2025-09-25,3,-1.6999999999999993,-1.0700000000000003,3.0,-1,-1,1
2025-09-24,2025-09-26,3,-10.89,1.4800000000000004,-13.5,-1,1,-1
2025-09-25,2025-09-29,3,-24.84,5.9799999999999995,-21.5,-1,1,-1
2025-09-26,2025-09-30,3,-24.069999999999997,9.19,-9.5,-1,1,-1
2025-10-09,2025-10-13,3,15.830000000000002,-3.44,14.0,1,-1,1
2025-10-10,2025-10-14,3,13.100000000000001,-4.12,-13.0,1,-1,-1
2025-10-13,2025-10-15,3,3.99,1.67,-28.0,1,1,-1
2025-10-14,2025-10-16,3,-2.83,7.84,-8.5,-1,1,-1
2025-10-15,2025-10-17,3,-10.79,11.76,-5.5,-1,1,-1
2025-10-16,2025-10-20,3,-13.209999999999999,12.310000000000002,-6.5,-1,1,-1
2025-10-17,2025-10-21,3,-7.600000000000001,7.66,-1.5,-1,1,-1
2025-10-20,2025-10-22,3,-1.1500000000000021,-0.6900000000000013,7.0,-1,-1,1
2025-10-21,2025-10-23,3,5.910000000000002,-7.790000000000001,7.5,1,-1,1
2025-10-22,2025-10-24,3,8.110000000000001,-9.3,-3.0,1,-1,-1
2025-10-23,2025-10-27,3,9.149999999999999,-8.12,9.5,1,-1,1
2025-10-24,2025-10-28,3,18.18,-9.14,21.5,1,-1,1
2025-10-27,2025-10-29,3,22.22,-10.74,18.0,1,-1,1
2025-10-28,2025-10-30,3,18.59,-8.600000000000001,10.0,1,-1,1
2025-10-29,2025-10-31,3,11.990000000000002,-1.3699999999999992,-4.5,1,-1,-1
2025-10-30,2025-11-03,3,-2.84,6.82,-20.0,-1,1,-1
2025-10-31,2025-11-04,3,-18.86,12.5,-24.5,-1,1,-1
2025-11-03,2025-11-05,3,-27.46,10.95,-6.5,-1,1,-1
2025-11-04,2025-11-06,3,-28.6,3.4699999999999998,2.0,-1,1,1
2025-11-05,2025-11-07,3,-22.11,-0.46999999999999975,-15.5,-1,-1,-1
2025-11-06,2025-11-10,3,-12.580000000000002,-2.0299999999999994,-12.5,-1,-1,-1
2025-11-07,2025-11-11,3,-2.3000000000000007,-2.4699999999999998,2.5,-1,-1,1
2025-11-10,2025-11-12,3,8.490000000000002,-2.43,9.0,1,-1,1
2025-11-11,2025-11-13,3,12.010000000000002,-3.04,9.5,1,-1,1
2025-11-12,2025-11-14,3,19.07,-1.57,-1.5,1,-1,-1
2025-11-13,2025-11-17,3,29.299999999999997,-2.51,16.0,1,-1,1
2025-11-14,2025-11-18,3,23.57,-5.44,19.5,1,-1,1
2025-11-17,2025-11-19,3,14.47,-5.050000000000001,3.0,1,-1,1
2025-11-18,2025-11-20,3,5.359999999999999,-0.45999999999999996,-3.5,1,-1,-1
2025-11-19,2025-11-21,3,-2.450000000000003,5.12,-6.0,-1,1,-1
2025-11-20,2025-11-24,3,-6.109999999999999,6.15,2.0,-1,1,1
2025-11-21,2025-11-25,3,-4.989999999999998,1.8,8.5,-1,1,1
