boot_mean,boot_std,boot_p_ge_obs,K,mode,pair
0.5002183908045976,0.03819939723349716,0.0,2,A,main~close
0.5008786127167629,0.03809195750772101,1.0,2,A,retail~close
0.5002183908045976,0.03819939723349716,0.0,2,B,main~close
0.5008786127167629,0.03809195750772101,1.0,2,B,retail~close
0.4996875,0.06331422751838642,0.0,3,A,main~close
0.49786440677966093,0.06602804240905759,1.0,3,A,retail~close
0.4991445086705203,0.03870851706443353,0.0,3,B,main~close
0.4985953757225433,0.03870327505025584,1.0,3,B,retail~close
0.5208,0.09536120804603936,0.0,4,A,main~close
0.451923076923077,0.09132084669679819,1.0,4,A,retail~close
0.4975301204819277,0.038105397758920065,0.0,4,B,main~close
0.49572289156626503,0.038160594176295755,1.0,4,B,retail~close
0.562181818181818,0.13612536759355082,0.021,5,A,main~close
0.37625,0.112446746655176,1.0,5,A,retail~close
0.4973855421686747,0.03855781421470274,0.0,5,B,main~close
0.4993674698795181,0.03814588690492201,1.0,5,B,retail~close
