mode,pair,n,same_rate,opp_rate,binom_p_same,chi2_p,long_y_n,long_same_rate,short_y_n,short_same_rate,table_++,table_+-,table_-+,table_--,K
A,main~close,174,0.6206896551724138,0.3793103448275862,0.0018001997935475765,0.001468866869845089,86,0.5930232558139535,88,0.6477272727272727,51,31,35,57,2
A,retail~close,173,0.3179190751445087,0.6820809248554913,1.8946472095137707e-06,1.5839896110749297e-06,86,0.29069767441860467,87,0.3448275862068966,25,57,61,30,2
A,main~retail,176,0.23295454545454544,0.7670454545454546,6.536195274161392e-13,7.77113537135556e-13,82,0.18292682926829268,94,0.2765957446808511,15,68,67,26,2
B,main~close,174,0.6206896551724138,0.3793103448275862,0.0018001997935475765,0.001468866869845089,86,0.5930232558139535,88,0.6477272727272727,51,31,35,57,2
B,retail~close,173,0.3179190751445087,0.6820809248554913,1.8946472095137707e-06,1.5839896110749297e-06,86,0.29069767441860467,87,0.3448275862068966,25,57,61,30,2
B,main~retail,176,0.23295454545454544,0.7670454545454546,6.536195274161392e-13,7.77113537135556e-13,82,0.18292682926829268,94,0.2765957446808511,15,68,67,26,2
A,main~close,64,0.75,0.25,7.733076881287027e-05,5.5393454192927676e-05,32,0.6875,32,0.8125,22,6,10,26,3
A,retail~close,59,0.06779661016949153,0.9322033898305084,1.6979681549678105e-12,3.309433846644415e-11,27,0.07407407407407407,32,0.0625,2,30,25,2,3
A,main~retail,118,0.13559322033898305,0.864406779661017,1.6554428099502264e-16,8.09274283387692e-16,54,0.05555555555555555,64,0.203125,3,51,51,13,3
B,main~close,173,0.6647398843930635,0.3352601156069364,1.7537873865135047e-05,1.3487529988758975e-05,88,0.6363636363636364,85,0.6941176470588235,56,26,32,59,3
B,retail~close,173,0.2658959537572254,0.7341040462427746,5.758301002888704e-10,6.257364211322444e-10,88,0.20454545454545456,85,0.32941176470588235,18,57,70,28,3
B,main~retail,174,0.1839080459770115,0.8160919540229885,9.718725894710974e-18,1.633888465258853e-17,76,0.10526315789473684,98,0.24489795918367346,8,74,68,24,3
A,main~close,25,0.88,0.12,0.00015652179718017578,0.00010904538595173858,11,0.7272727272727273,14,1.0,8,0,3,14,4
A,retail~close,26,0.0,1.0,2.9802322387695312e-08,3.4141735772975323e-07,9,0.0,17,0.0,0,17,9,0,4
A,main~retail,79,0.08860759493670886,0.9113924050632911,1.059068672061396e-14,9.971505795268255e-14,36,0.0,43,0.16279069767441862,0,36,36,7,4
B,main~close,166,0.7590361445783133,0.24096385542168675,1.4425079165850225e-11,1.2290035679188593e-11,90,0.7111111111111111,76,0.8157894736842105,64,14,26,62,4
B,retail~close,166,0.19879518072289157,0.8012048192771084,1.970175129366299e-15,1.2187306845163029e-14,90,0.16666666666666666,76,0.23684210526315788,15,58,75,18,4
B,main~retail,171,0.16374269005847952,0.8362573099415205,8.738712701597344e-20,2.609919376060955e-19,75,0.08,96,0.22916666666666666,6,74,69,22,4
A,main~close,11,0.9090909090909091,0.09090909090909091,0.01171875,0.007214593067909971,4,0.75,7,1.0,3,0,1,7,5
A,retail~close,12,0.0,1.0,0.00048828125,0.0005320055051392503,3,0.0,9,0.0,0,9,3,0,5
A,main~retail,52,0.038461538461538464,0.9615384615384616,6.123990203832363e-13,2.4524456141090908e-11,24,0.0,28,0.07142857142857142,0,26,24,2,5
B,main~close,166,0.7349397590361446,0.26506024096385544,1.131705334985862e-09,7.769526561666584e-10,87,0.6781609195402298,79,0.7974683544303798,59,16,28,63,5
B,retail~close,166,0.1686746987951807,0.8313253012048193,1.1400221754902939e-18,1.4970846105709863e-17,87,0.13793103448275862,79,0.20253164556962025,12,63,75,16,5
B,main~retail,168,0.16666666666666666,0.8333333333333334,4.094744789552761e-19,9.731195626202455e-19,77,0.07792207792207792,91,0.24175824175824176,6,69,71,22,5
