strategy_name,variety_name,sector,return_contribution,held_days,trade_count
策略2_完整约束,焦煤,黑色系,0.08697525689212497,65,11
策略2_完整约束,沪铝,有色金属,0.07415199161551544,60,9
策略2_完整约束,PTA,化工能化,0.05188817918901767,46,7
策略2_完整约束,棕榈油,油脂油料,0.04744280163759118,53,6
策略2_完整约束,铁矿石,黑色系,0.004134254103176767,15,3
策略2_完整约束,橡胶,化工能化,0.0038328107839729446,19,3
策略2_完整约束,沪铜,有色金属,-0.003834432873198401,6,2
策略2_完整约束,玉米,农产品,-0.005819255269648325,17,3
策略2_完整约束,甲醇,化工能化,-0.007034498703986869,31,5
策略2_完整约束,豆粕,油脂油料,-0.007582005046976965,30,5
策略2_完整约束,沪锌,有色金属,-0.012651607252720486,30,6
策略2_完整约束,沪金,贵金属,-0.020790974763908447,44,9
策略2_仅3槽_无板块互斥,焦煤,黑色系,0.08930555927904242,65,11
策略2_仅3槽_无板块互斥,沪铝,有色金属,0.048484205262864795,59,11
策略2_仅3槽_无板块互斥,棕榈油,油脂油料,0.042914881014430264,38,4
策略2_仅3槽_无板块互斥,PTA,化工能化,0.016062587963299447,39,7
策略2_仅3槽_无板块互斥,沪金,贵金属,0.014842864682077777,29,6
策略2_仅3槽_无板块互斥,玉米,农产品,0.010986766420545375,39,6
策略2_仅3槽_无板块互斥,甲醇,化工能化,0.0054731847260974815,24,5
策略2_仅3槽_无板块互斥,铁矿石,黑色系,0.004469333019081999,29,6
策略2_仅3槽_无板块互斥,豆粕,油脂油料,-0.0033100365925427377,43,7
策略2_仅3槽_无板块互斥,沪铜,有色金属,-0.012397270193056179,9,3
策略2_仅3槽_无板块互斥,沪锌,有色金属,-0.019629159984673777,19,5
策略2_仅3槽_无板块互斥,橡胶,化工能化,-0.023175341443326967,25,5
策略2_仅板块互斥_6板块槽位,焦煤,黑色系,0.07018093316981516,87,13
策略2_仅板块互斥_6板块槽位,沪铝,有色金属,0.03446846351484487,76,12
策略2_仅板块互斥_6板块槽位,PTA,化工能化,0.023837449725902623,51,7
策略2_仅板块互斥_6板块槽位,棕榈油,油脂油料,0.02224222028481141,54,6
策略2_仅板块互斥_6板块槽位,豆粕,油脂油料,0.009084237622274675,56,9
策略2_仅板块互斥_6板块槽位,玉米,农产品,0.007554958232186991,80,14
策略2_仅板块互斥_6板块槽位,沪铜,有色金属,0.0013828354115271151,10,3
策略2_仅板块互斥_6板块槽位,铁矿石,黑色系,-0.0015775683326801904,30,4
策略2_仅板块互斥_6板块槽位,甲醇,化工能化,-0.0024066376780434986,38,6
策略2_仅板块互斥_6板块槽位,橡胶,化工能化,-0.0037404776401125557,37,6
策略2_仅板块互斥_6板块槽位,沪锌,有色金属,-0.006980887515259217,37,8
策略2_仅板块互斥_6板块槽位,沪金,贵金属,-0.009309282087268108,79,13
