strategy_name,sector,held_days,exposure_share
策略2_完整约束,有色金属,96,0.5333333333333333
策略2_完整约束,化工能化,96,0.5333333333333333
策略2_完整约束,油脂油料,83,0.46111111111111114
策略2_完整约束,黑色系,80,0.4444444444444444
策略2_完整约束,贵金属,44,0.24444444444444444
策略2_完整约束,农产品,17,0.09444444444444444
策略2_仅3槽_无板块互斥,黑色系,83,0.46111111111111114
策略2_仅3槽_无板块互斥,有色金属,80,0.4444444444444444
策略2_仅3槽_无板块互斥,化工能化,74,0.4111111111111111
策略2_仅3槽_无板块互斥,油脂油料,65,0.3611111111111111
策略2_仅3槽_无板块互斥,农产品,39,0.21666666666666667
策略2_仅3槽_无板块互斥,贵金属,29,0.16111111111111112
策略2_仅板块互斥_6板块槽位,化工能化,126,0.7
策略2_仅板块互斥_6板块槽位,有色金属,123,0.6833333333333333
策略2_仅板块互斥_6板块槽位,黑色系,117,0.65
策略2_仅板块互斥_6板块槽位,油脂油料,110,0.6111111111111112
策略2_仅板块互斥_6板块槽位,农产品,80,0.4444444444444444
策略2_仅板块互斥_6板块槽位,贵金属,79,0.4388888888888889
